commune,nb_parcelles,taux_moy_commune,taux_med_commune,part_risque_eleve
MORNE-ROUGE(LE),174,1.9773333333333332,0.044,0.0
GRAND'RIVIERE,21,1.5917619047619047,0.2404,0.0
MACOUBA,35,1.229742857142857,0.6841,0.0
BASSE-POINTE,87,0.6227626436781609,0.0431,0.0
LORRAIN(LE),175,0.5524048571428571,0.126,0.0
SAINT-PIERRE,60,0.39378083333333336,0.001875,0.0
AJOUPA BOUILLON,81,0.3832456790123457,0.0058,0.0
TRINITE(LA),153,0.3651392156862745,0.0048,0.0
SAINTE-MARIE,202,0.3295316831683168,0.01515,0.0
SAINT-ESPRIT,142,0.3276390845070422,0.005050000000000001,0.0
GROS-MORNE,216,0.2699752314814815,0.00165,0.0
MARIGOT(LE),59,0.22913983050847456,0.0199,0.0
LAMENTIN(LE),272,0.20619485294117648,0.00165,0.0
PRECHEUR(LE),55,0.1924490909090909,0.00165,0.0
SAINT-JOSEPH,226,0.16382234513274338,0.00165,0.0
FRANCOIS(LE),174,0.1568962643678161,0.00165,0.0
RIVIERE-SALEE,91,0.14457582417582418,0.0012,0.0
ROBERT(LE),227,0.14452224669603525,0.00165,0.0
DUCOS,195,0.08190133333333334,0.00165,0.0
MARIN(LE),54,0.07396388888888888,0.0005,0.0
RIVIERE-PILOTE,120,0.06845166666666666,0.00165,0.0
Hors Martinique,3,0.06188333333333334,0.063,0.0
VAUCLIN(LE),112,0.04308705357142857,0.0016499999999999998,0.0
FONDS-SAINT-DENIS,35,0.03904142857142857,0.0013,0.0
CARBET(LE),120,0.0283625,0.00165,0.0
SAINTE-LUCE,62,0.021430645161290323,0.0016499999999999998,0.0
FORT-DE-FRANCE,101,0.008887128712871287,0.0012,0.0
SCHOELCHER,45,0.0066522222222222226,0.0005,0.0
DIAMANT(LE),34,0.003604411764705882,0.0005,0.0
CASE-PILOTE,55,0.0028736363636363634,0.0005,0.0
MORNE-VERT(LE),46,0.002307608695652174,0.00135,0.0
ANSES-D'ARLET(LES),31,0.002166129032258064,0.0005,0.0
BELLEFONTAINE,35,0.001087142857142857,0.0005,0.0
SAINTE-ANNE,40,0.0010125,0.0005,0.0
TROIS-ILETS(LES),32,0.0006625,0.0005,0.0
