mois,nb_mesures,nb_parcelles,taux_moyen,taux_median,sol_simple
2005-12,230,7,6.360869565217391,6.8,No data
2006-02,32,4,2.24375,2.0,Nitisol
2006-03,140,3,2.3400000000000003,2.0,Andosol
2006-04,388,4,1.3808762886597938,1.5,No data
2006-05,75,2,3.94,4.5,No data
2006-06,73,2,5.004657534246576,9.3,Andosol
2006-12,583,5,3.3501372212692964,2.9,Andosol
2007-04,275,4,2.6382181818181816,3.1,Andosol
2007-05,752,12,3.577691489361702,4.34,Andosol
2007-06,348,7,2.4910057471264366,2.6,Vertisol
2007-07,82,3,3.9914634146341466,2.3,Nitisol
2007-10,22,1,0.2,0.2,Nitisol
2007-11,60,2,0.37900000000000006,0.31,Andosol
2007-12,36,2,2.75,2.75,Andosol
2008-03,154,7,2.9392727272727273,2.73,Andosol
2008-04,29,1,4.27,4.27,No data
2009-03,2,1,4.3,4.3,Andosol
2009-04,52,11,0.6118836538461538,0.05,Andosol
2009-05,52,11,1.045446153846154,0.97,Nitisol
2009-06,77,17,1.3717623376623376,0.02,Andosol
2009-07,72,24,0.3736861111111111,0.006325,Andosol
2009-08,84,32,0.2625517857142857,0.059,Nitisol
2009-09,89,19,2.561300561797753,0.605,No data
2009-10,80,19,0.7242275,0.357,Vertisol
2009-11,134,15,0.29258619402985075,0.00165,Ferralsol
2009-12,2,1,0.00165,0.00165,Ferralsol
2011-01,32,3,0.0644234375,0.05,"Alluvium, Colluvium"
2011-02,72,9,5.2794888888888885,2.55,Andosol
2011-03,72,13,2.5606944444444446,2.17,Vertisol
2011-04,18,5,2.735,2.65,Andosol
2011-05,96,6,6.743125,5.12,Vertisol
2011-06,39,6,0.0016500000000000002,0.00165,Nitisol
2011-08,65,4,0.30692307692307697,0.15,Vertisol
2011-09,246,23,0.5284491869918699,0.02,Nitisol
2011-10,203,16,0.5765935960591133,0.04,Andosol
2011-11,318,17,0.25388632075471695,0.06,No data
2012-01,55,6,1.7354545454545456,1.3,Andosol
2012-02,24,5,0.15173125,0.06,Ferralsol
2012-03,136,15,0.2882893382352941,0.09,Vertisol
2012-04,179,24,0.19533351955307263,0.00165,No data
2012-05,130,10,0.03320269230769231,0.00165,Nitisol
2012-06,173,11,0.043514450867052024,0.00165,Vertisol
2012-07,179,18,0.053463407821229054,0.00165,Ferralsol
2012-08,211,13,1.7841305687203792,2.3,No data
2012-09,49,7,1.1614602040816326,0.96,Vertisol
2012-10,60,7,0.00165,0.00165,Andosol
2012-11,205,16,0.42717902439024386,0.44,Nitisol
2012-12,73,6,0.11095205479452055,0.12,Vertisol
2013-02,37,6,0.2025972972972973,0.00165,"Alluvium, Colluvium"
2013-03,121,9,0.030507438016528925,0.00165,Ferralsol
2013-04,177,15,0.029571186440677966,0.00165,Ferralsol
2013-05,124,14,0.08306330645161292,0.00165,Nitisol
2013-06,251,19,0.0037832669322709163,0.00165,Andosol
